,start_station,end_station,size,start_station_Latitud,start_station_Longitud,mes
243,132,132,341,40.4463889,-3.7035911,2021/1/01
244,132,132,341,40.4463889,-3.7035911,2021/1/01
245,132,132,341,40.4463889,-3.7035911,2021/1/01
246,132,132,341,40.4463889,-3.7035911,2021/1/01
247,132,132,341,40.4463889,-3.7035911,2021/1/01
248,132,132,341,40.4463889,-3.7035911,2021/1/01
249,132,132,341,40.4463889,-3.7035911,2021/1/01
250,132,132,341,40.4463889,-3.7035911,2021/1/01
251,132,132,341,40.4463889,-3.7035911,2021/1/01
252,132,132,341,40.4463889,-3.7035911,2021/1/01
253,132,132,341,40.4463889,-3.7035911,2021/1/01
254,132,132,341,40.4463889,-3.7035911,2021/1/01
255,132,132,341,40.4463889,-3.7035911,2021/1/01
256,132,132,341,40.4463889,-3.7035911,2021/1/01
257,132,132,341,40.4463889,-3.7035911,2021/1/01
258,132,132,341,40.4463889,-3.7035911,2021/1/01
259,132,132,341,40.4463889,-3.7035911,2021/1/01
260,132,132,341,40.4463889,-3.7035911,2021/1/01
261,132,132,341,40.4463889,-3.7035911,2021/1/01
262,132,132,341,40.4463889,-3.7035911,2021/1/01
263,132,132,341,40.4463889,-3.7035911,2021/1/01
264,132,132,341,40.4463889,-3.7035911,2021/1/01
265,132,132,341,40.4463889,-3.7035911,2021/1/01
266,132,132,341,40.4463889,-3.7035911,2021/1/01
267,132,132,341,40.4463889,-3.7035911,2021/1/01
268,132,132,341,40.4463889,-3.7035911,2021/1/01
269,132,132,341,40.4463889,-3.7035911,2021/1/01
270,132,132,341,40.4463889,-3.7035911,2021/1/01
271,132,132,341,40.4463889,-3.7035911,2021/1/01
272,132,132,341,40.4463889,-3.7035911,2021/1/01
273,132,132,341,40.4463889,-3.7035911,2021/1/01
274,132,132,341,40.4463889,-3.7035911,2021/1/01
275,132,132,341,40.4463889,-3.7035911,2021/1/01
276,132,132,341,40.4463889,-3.7035911,2021/1/01
277,132,132,341,40.4463889,-3.7035911,2021/1/01
278,132,132,341,40.4463889,-3.7035911,2021/1/01
279,132,132,341,40.4463889,-3.7035911,2021/1/01
280,132,132,341,40.4463889,-3.7035911,2021/1/01
281,132,132,341,40.4463889,-3.7035911,2021/1/01
282,132,132,341,40.4463889,-3.7035911,2021/1/01
283,132,132,341,40.4463889,-3.7035911,2021/1/01
284,132,132,341,40.4463889,-3.7035911,2021/1/01
285,132,132,341,40.4463889,-3.7035911,2021/1/01
286,132,132,341,40.4463889,-3.7035911,2021/1/01
287,132,132,341,40.4463889,-3.7035911,2021/1/01
288,132,132,341,40.4463889,-3.7035911,2021/1/01
289,132,132,341,40.4463889,-3.7035911,2021/1/01
290,132,132,341,40.4463889,-3.7035911,2021/1/01
291,132,132,341,40.4463889,-3.7035911,2021/1/01
292,132,132,341,40.4463889,-3.7035911,2021/1/01
293,132,132,341,40.4463889,-3.7035911,2021/1/01
294,132,132,341,40.4463889,-3.7035911,2021/1/01
295,132,132,341,40.4463889,-3.7035911,2021/1/01
296,132,132,341,40.4463889,-3.7035911,2021/1/01
297,132,132,341,40.4463889,-3.7035911,2021/1/01
298,132,132,341,40.4463889,-3.7035911,2021/1/01
299,132,132,341,40.4463889,-3.7035911,2021/1/01
300,132,132,341,40.4463889,-3.7035911,2021/1/01
301,132,132,341,40.4463889,-3.7035911,2021/1/01
302,132,132,341,40.4463889,-3.7035911,2021/1/01
303,132,132,341,40.4463889,-3.7035911,2021/1/01
304,132,132,341,40.4463889,-3.7035911,2021/1/01
305,132,132,341,40.4463889,-3.7035911,2021/1/01
306,132,132,341,40.4463889,-3.7035911,2021/1/01
307,132,132,341,40.4463889,-3.7035911,2021/1/01
308,132,132,341,40.4463889,-3.7035911,2021/1/01
309,132,132,341,40.4463889,-3.7035911,2021/1/01
310,132,132,341,40.4463889,-3.7035911,2021/1/01
311,132,132,341,40.4463889,-3.7035911,2021/1/01
312,132,132,341,40.4463889,-3.7035911,2021/1/01
313,132,132,341,40.4463889,-3.7035911,2021/1/01
314,132,132,341,40.4463889,-3.7035911,2021/1/01
315,132,132,341,40.4463889,-3.7035911,2021/1/01
316,132,132,341,40.4463889,-3.7035911,2021/1/01
317,132,132,341,40.4463889,-3.7035911,2021/1/01
318,132,132,341,40.4463889,-3.7035911,2021/1/01
319,132,132,341,40.4463889,-3.7035911,2021/1/01
320,132,132,341,40.4463889,-3.7035911,2021/1/01
321,132,132,341,40.4463889,-3.7035911,2021/1/01
322,132,132,341,40.4463889,-3.7035911,2021/1/01
323,132,132,341,40.4463889,-3.7035911,2021/1/01
324,132,132,341,40.4463889,-3.7035911,2021/1/01
325,132,132,341,40.4463889,-3.7035911,2021/1/01
326,132,132,341,40.4463889,-3.7035911,2021/1/01
327,132,132,341,40.4463889,-3.7035911,2021/1/01
328,132,132,341,40.4463889,-3.7035911,2021/1/01
329,132,132,341,40.4463889,-3.7035911,2021/1/01
330,132,132,341,40.4463889,-3.7035911,2021/1/01
331,132,132,341,40.4463889,-3.7035911,2021/1/01
332,132,132,341,40.4463889,-3.7035911,2021/1/01
333,132,132,341,40.4463889,-3.7035911,2021/1/01
334,132,132,341,40.4463889,-3.7035911,2021/1/01
335,132,132,341,40.4463889,-3.7035911,2021/1/01
336,132,132,341,40.4463889,-3.7035911,2021/1/01
337,132,132,341,40.4463889,-3.7035911,2021/1/01
338,132,132,341,40.4463889,-3.7035911,2021/1/01
339,132,132,341,40.4463889,-3.7035911,2021/1/01
340,132,132,341,40.4463889,-3.7035911,2021/1/01
341,57,57,199,40.4296363,-3.7128181,2021/1/01
342,57,57,199,40.4296363,-3.7128181,2021/1/01
343,57,57,199,40.4296363,-3.7128181,2021/1/01
344,57,57,199,40.4296363,-3.7128181,2021/1/01
345,57,57,199,40.4296363,-3.7128181,2021/1/01
346,57,57,199,40.4296363,-3.7128181,2021/1/01
347,57,57,199,40.4296363,-3.7128181,2021/1/01
348,57,57,199,40.4296363,-3.7128181,2021/1/01
349,57,57,199,40.4296363,-3.7128181,2021/1/01
350,57,57,199,40.4296363,-3.7128181,2021/1/01
351,57,57,199,40.4296363,-3.7128181,2021/1/01
352,57,57,199,40.4296363,-3.7128181,2021/1/01
353,57,57,199,40.4296363,-3.7128181,2021/1/01
354,57,57,199,40.4296363,-3.7128181,2021/1/01
355,57,57,199,40.4296363,-3.7128181,2021/1/01
356,57,57,199,40.4296363,-3.7128181,2021/1/01
357,57,57,199,40.4296363,-3.7128181,2021/1/01
358,57,57,199,40.4296363,-3.7128181,2021/1/01
359,57,57,199,40.4296363,-3.7128181,2021/1/01
360,57,57,199,40.4296363,-3.7128181,2021/1/01
361,57,57,199,40.4296363,-3.7128181,2021/1/01
362,57,57,199,40.4296363,-3.7128181,2021/1/01
363,57,57,199,40.4296363,-3.7128181,2021/1/01
364,57,57,199,40.4296363,-3.7128181,2021/1/01
365,57,57,199,40.4296363,-3.7128181,2021/1/01
366,57,57,199,40.4296363,-3.7128181,2021/1/01
367,57,57,199,40.4296363,-3.7128181,2021/1/01
368,57,57,199,40.4296363,-3.7128181,2021/1/01
369,57,57,199,40.4296363,-3.7128181,2021/1/01
370,57,57,199,40.4296363,-3.7128181,2021/1/01
371,57,57,199,40.4296363,-3.7128181,2021/1/01
372,57,57,199,40.4296363,-3.7128181,2021/1/01
373,57,57,199,40.4296363,-3.7128181,2021/1/01
374,57,57,199,40.4296363,-3.7128181,2021/1/01
375,57,57,199,40.4296363,-3.7128181,2021/1/01
376,57,57,199,40.4296363,-3.7128181,2021/1/01
377,57,57,199,40.4296363,-3.7128181,2021/1/01
378,57,57,199,40.4296363,-3.7128181,2021/1/01
379,57,57,199,40.4296363,-3.7128181,2021/1/01
380,57,57,199,40.4296363,-3.7128181,2021/1/01
381,57,57,199,40.4296363,-3.7128181,2021/1/01
382,57,57,199,40.4296363,-3.7128181,2021/1/01
383,57,57,199,40.4296363,-3.7128181,2021/1/01
384,57,57,199,40.4296363,-3.7128181,2021/1/01
385,57,57,199,40.4296363,-3.7128181,2021/1/01
386,57,57,199,40.4296363,-3.7128181,2021/1/01
387,57,57,199,40.4296363,-3.7128181,2021/1/01
388,57,57,199,40.4296363,-3.7128181,2021/1/01
389,57,57,199,40.4296363,-3.7128181,2021/1/01
390,57,57,199,40.4296363,-3.7128181,2021/1/01
391,57,57,199,40.4296363,-3.7128181,2021/1/01
392,57,57,199,40.4296363,-3.7128181,2021/1/01
393,57,57,199,40.4296363,-3.7128181,2021/1/01
394,57,57,199,40.4296363,-3.7128181,2021/1/01
395,57,57,199,40.4296363,-3.7128181,2021/1/01
396,57,57,199,40.4296363,-3.7128181,2021/1/01
397,57,57,199,40.4296363,-3.7128181,2021/1/01
398,57,57,199,40.4296363,-3.7128181,2021/1/01
399,57,57,199,40.4296363,-3.7128181,2021/1/01
400,57,57,199,40.4296363,-3.7128181,2021/1/01
401,57,57,199,40.4296363,-3.7128181,2021/1/01
402,57,57,199,40.4296363,-3.7128181,2021/1/01
403,57,57,199,40.4296363,-3.7128181,2021/1/01
404,57,57,199,40.4296363,-3.7128181,2021/1/01
405,57,57,199,40.4296363,-3.7128181,2021/1/01
406,57,57,199,40.4296363,-3.7128181,2021/1/01
407,57,57,199,40.4296363,-3.7128181,2021/1/01
408,57,57,199,40.4296363,-3.7128181,2021/1/01
409,57,57,199,40.4296363,-3.7128181,2021/1/01
410,57,57,199,40.4296363,-3.7128181,2021/1/01
411,57,57,199,40.4296363,-3.7128181,2021/1/01
412,57,57,199,40.4296363,-3.7128181,2021/1/01
413,57,57,199,40.4296363,-3.7128181,2021/1/01
414,57,57,199,40.4296363,-3.7128181,2021/1/01
415,57,57,199,40.4296363,-3.7128181,2021/1/01
416,57,57,199,40.4296363,-3.7128181,2021/1/01
417,57,57,199,40.4296363,-3.7128181,2021/1/01
418,57,57,199,40.4296363,-3.7128181,2021/1/01
419,57,57,199,40.4296363,-3.7128181,2021/1/01
420,57,57,199,40.4296363,-3.7128181,2021/1/01
421,57,57,199,40.4296363,-3.7128181,2021/1/01
422,57,57,199,40.4296363,-3.7128181,2021/1/01
423,57,57,199,40.4296363,-3.7128181,2021/1/01
424,57,57,199,40.4296363,-3.7128181,2021/1/01
425,57,57,199,40.4296363,-3.7128181,2021/1/01
426,57,57,199,40.4296363,-3.7128181,2021/1/01
427,57,57,199,40.4296363,-3.7128181,2021/1/01
428,57,57,199,40.4296363,-3.7128181,2021/1/01
429,57,57,199,40.4296363,-3.7128181,2021/1/01
430,57,57,199,40.4296363,-3.7128181,2021/1/01
431,57,57,199,40.4296363,-3.7128181,2021/1/01
432,57,57,199,40.4296363,-3.7128181,2021/1/01
433,57,57,199,40.4296363,-3.7128181,2021/1/01
434,57,57,199,40.4296363,-3.7128181,2021/1/01
435,57,57,199,40.4296363,-3.7128181,2021/1/01
436,57,57,199,40.4296363,-3.7128181,2021/1/01
437,57,57,199,40.4296363,-3.7128181,2021/1/01
438,57,57,199,40.4296363,-3.7128181,2021/1/01
439,57,57,199,40.4296363,-3.7128181,2021/1/01
440,57,57,199,40.4296363,-3.7128181,2021/1/01
441,57,57,199,40.4296363,-3.7128181,2021/1/01
442,57,57,199,40.4296363,-3.7128181,2021/1/01
443,57,57,199,40.4296363,-3.7128181,2021/1/01
444,57,57,199,40.4296363,-3.7128181,2021/1/01
445,57,57,199,40.4296363,-3.7128181,2021/1/01
446,57,57,199,40.4296363,-3.7128181,2021/1/01
447,57,57,199,40.4296363,-3.7128181,2021/1/01
448,57,57,199,40.4296363,-3.7128181,2021/1/01
449,57,57,199,40.4296363,-3.7128181,2021/1/01
450,57,57,199,40.4296363,-3.7128181,2021/1/01
451,57,57,199,40.4296363,-3.7128181,2021/1/01
452,57,57,199,40.4296363,-3.7128181,2021/1/01
453,57,57,199,40.4296363,-3.7128181,2021/1/01
454,57,57,199,40.4296363,-3.7128181,2021/1/01
455,57,57,199,40.4296363,-3.7128181,2021/1/01
456,57,57,199,40.4296363,-3.7128181,2021/1/01
457,57,57,199,40.4296363,-3.7128181,2021/1/01
458,57,57,199,40.4296363,-3.7128181,2021/1/01
459,57,57,199,40.4296363,-3.7128181,2021/1/01
460,57,57,199,40.4296363,-3.7128181,2021/1/01
461,57,57,199,40.4296363,-3.7128181,2021/1/01
462,57,57,199,40.4296363,-3.7128181,2021/1/01
463,57,57,199,40.4296363,-3.7128181,2021/1/01
464,57,57,199,40.4296363,-3.7128181,2021/1/01
465,57,57,199,40.4296363,-3.7128181,2021/1/01
466,57,57,199,40.4296363,-3.7128181,2021/1/01
467,57,57,199,40.4296363,-3.7128181,2021/1/01
468,57,57,199,40.4296363,-3.7128181,2021/1/01
469,57,57,199,40.4296363,-3.7128181,2021/1/01
470,57,57,199,40.4296363,-3.7128181,2021/1/01
471,57,57,199,40.4296363,-3.7128181,2021/1/01
472,57,57,199,40.4296363,-3.7128181,2021/1/01
473,57,57,199,40.4296363,-3.7128181,2021/1/01
474,57,57,199,40.4296363,-3.7128181,2021/1/01
475,57,57,199,40.4296363,-3.7128181,2021/1/01
476,57,57,199,40.4296363,-3.7128181,2021/1/01
477,57,57,199,40.4296363,-3.7128181,2021/1/01
478,57,57,199,40.4296363,-3.7128181,2021/1/01
479,57,57,199,40.4296363,-3.7128181,2021/1/01
480,57,57,199,40.4296363,-3.7128181,2021/1/01
481,57,57,199,40.4296363,-3.7128181,2021/1/01
482,57,57,199,40.4296363,-3.7128181,2021/1/01
483,57,57,199,40.4296363,-3.7128181,2021/1/01
484,57,57,199,40.4296363,-3.7128181,2021/1/01
485,57,57,199,40.4296363,-3.7128181,2021/1/01
486,57,57,199,40.4296363,-3.7128181,2021/1/01
487,57,57,199,40.4296363,-3.7128181,2021/1/01
488,57,57,199,40.4296363,-3.7128181,2021/1/01
489,57,57,199,40.4296363,-3.7128181,2021/1/01
490,57,57,199,40.4296363,-3.7128181,2021/1/01
491,57,57,199,40.4296363,-3.7128181,2021/1/01
492,57,57,199,40.4296363,-3.7128181,2021/1/01
493,57,57,199,40.4296363,-3.7128181,2021/1/01
494,57,57,199,40.4296363,-3.7128181,2021/1/01
