,start_station,end_station,size,Unnamed: 0,index,start_station_Latitud,start_station_Longitud,end_station_Longitud,end_station_Latitud,travel_time,hour_time,mes
96,212,212,239,129363,129363,40.3981605,-3.7165313,-3.7165313,40.3981605,2328,2020-11-08T21:00:00Z,2020/10/01
97,212,212,239,131703,131703,40.3981605,-3.7165313,-3.7165313,40.3981605,629,2020-11-08T15:00:00Z,2020/10/01
98,212,212,239,132243,132243,40.3981605,-3.7165313,-3.7165313,40.3981605,4105,2020-11-14T17:00:00Z,2020/10/01
99,212,212,239,132808,132808,40.3981605,-3.7165313,-3.7165313,40.3981605,4970,2020-11-20T20:00:00Z,2020/10/01
100,212,212,239,132885,132885,40.3981605,-3.7165313,-3.7165313,40.3981605,3073,2020-11-21T20:00:00Z,2020/10/01
101,212,212,239,132986,132986,40.3981605,-3.7165313,-3.7165313,40.3981605,1930,2020-11-23T12:00:00Z,2020/10/01
102,212,212,239,133307,133307,40.3981605,-3.7165313,-3.7165313,40.3981605,5478,2020-11-27T13:00:00Z,2020/10/01
103,212,212,239,133858,133858,40.3981605,-3.7165313,-3.7165313,40.3981605,7,2020-11-06T11:00:00Z,2020/10/01
104,212,212,239,136532,136532,40.3981605,-3.7165313,-3.7165313,40.3981605,18,2020-11-11T11:00:00Z,2020/10/01
105,212,212,239,137081,137081,40.3981605,-3.7165313,-3.7165313,40.3981605,1058,2020-11-17T13:00:00Z,2020/10/01
106,212,212,239,139165,139165,40.3981605,-3.7165313,-3.7165313,40.3981605,2090,2020-11-14T21:00:00Z,2020/10/01
107,212,212,239,139220,139220,40.3981605,-3.7165313,-3.7165313,40.3981605,1777,2020-11-15T18:00:00Z,2020/10/01
108,212,212,239,142048,142048,40.3981605,-3.7165313,-3.7165313,40.3981605,2238,2020-11-20T22:00:00Z,2020/10/01
109,212,212,239,142600,142600,40.3981605,-3.7165313,-3.7165313,40.3981605,3145,2020-11-28T13:00:00Z,2020/10/01
110,212,212,239,143803,143803,40.3981605,-3.7165313,-3.7165313,40.3981605,1936,2020-11-15T21:00:00Z,2020/10/01
111,212,212,239,144200,144200,40.3981605,-3.7165313,-3.7165313,40.3981605,1172,2020-11-19T21:00:00Z,2020/10/01
112,212,212,239,146920,146920,40.3981605,-3.7165313,-3.7165313,40.3981605,738,2020-11-24T18:00:00Z,2020/10/01
113,212,212,239,147624,147624,40.3981605,-3.7165313,-3.7165313,40.3981605,2974,2020-11-05T19:00:00Z,2020/10/01
114,212,212,239,147765,147765,40.3981605,-3.7165313,-3.7165313,40.3981605,923,2020-11-07T14:00:00Z,2020/10/01
115,212,212,239,147895,147895,40.3981605,-3.7165313,-3.7165313,40.3981605,1337,2020-11-08T21:00:00Z,2020/10/01
116,212,212,239,148762,148762,40.3981605,-3.7165313,-3.7165313,40.3981605,18,2020-11-19T10:00:00Z,2020/10/01
117,212,212,239,150045,150045,40.3981605,-3.7165313,-3.7165313,40.3981605,9,2020-11-06T11:00:00Z,2020/10/01
118,212,212,239,150553,150553,40.3981605,-3.7165313,-3.7165313,40.3981605,1382,2020-11-12T14:00:00Z,2020/10/01
119,212,212,239,151815,151815,40.3981605,-3.7165313,-3.7165313,40.3981605,1963,2020-11-28T02:00:00Z,2020/10/01
120,212,212,239,152267,152267,40.3981605,-3.7165313,-3.7165313,40.3981605,2798,2020-11-05T20:00:00Z,2020/10/01
121,212,212,239,156025,156025,40.3981605,-3.7165313,-3.7165313,40.3981605,568,2020-11-22T15:00:00Z,2020/10/01
122,212,212,239,156358,156358,40.3981605,-3.7165313,-3.7165313,40.3981605,1011,2020-11-26T23:00:00Z,2020/10/01
123,212,212,239,156925,156925,40.3981605,-3.7165313,-3.7165313,40.3981605,3346,2020-11-05T19:00:00Z,2020/10/01
124,212,212,239,157965,157965,40.3981605,-3.7165313,-3.7165313,40.3981605,3209,2020-11-17T21:00:00Z,2020/10/01
125,212,212,239,160693,160693,40.3981605,-3.7165313,-3.7165313,40.3981605,1744,2020-11-21T22:00:00Z,2020/10/01
126,212,212,239,161031,161031,40.3981605,-3.7165313,-3.7165313,40.3981605,5270,2020-11-26T12:00:00Z,2020/10/01
127,212,212,239,163249,163249,40.3981605,-3.7165313,-3.7165313,40.3981605,2398,2020-11-25T21:00:00Z,2020/10/01
128,212,212,239,166174,166174,40.3981605,-3.7165313,-3.7165313,40.3981605,1759,2020-11-05T18:00:00Z,2020/10/01
129,212,212,239,166300,166300,40.3981605,-3.7165313,-3.7165313,40.3981605,865,2020-11-07T12:00:00Z,2020/10/01
130,212,212,239,167493,167493,40.3981605,-3.7165313,-3.7165313,40.3981605,1540,2020-11-20T13:00:00Z,2020/10/01
131,212,212,239,168093,168093,40.3981605,-3.7165313,-3.7165313,40.3981605,1834,2020-11-28T12:00:00Z,2020/10/01
132,212,212,239,168832,168832,40.3981605,-3.7165313,-3.7165313,40.3981605,1122,2020-11-08T17:00:00Z,2020/10/01
133,212,212,239,173154,173154,40.3981605,-3.7165313,-3.7165313,40.3981605,1651,2020-11-03T17:00:00Z,2020/10/01
134,212,212,239,174251,174251,40.3981605,-3.7165313,-3.7165313,40.3981605,3728,2020-11-17T19:00:00Z,2020/10/01
135,212,212,239,174988,174988,40.3981605,-3.7165313,-3.7165313,40.3981605,1505,2020-11-25T22:00:00Z,2020/10/01
136,212,212,239,176581,176581,40.3981605,-3.7165313,-3.7165313,40.3981605,2938,2020-11-17T20:00:00Z,2020/10/01
137,212,212,239,180290,180290,40.3981605,-3.7165313,-3.7165313,40.3981605,1048,2020-11-07T15:00:00Z,2020/10/01
138,212,212,239,181246,181246,40.3981605,-3.7165313,-3.7165313,40.3981605,1358,2020-11-18T19:00:00Z,2020/10/01
139,212,212,239,181553,181553,40.3981605,-3.7165313,-3.7165313,40.3981605,1350,2020-11-21T22:00:00Z,2020/10/01
140,212,212,239,182721,182721,40.3981605,-3.7165313,-3.7165313,40.3981605,759,2020-11-08T21:00:00Z,2020/10/01
141,212,212,239,183785,183785,40.3981605,-3.7165313,-3.7165313,40.3981605,964,2020-11-21T09:00:00Z,2020/10/01
142,212,212,239,184803,184803,40.3981605,-3.7165313,-3.7165313,40.3981605,6,2020-11-06T11:00:00Z,2020/10/01
143,212,212,239,186996,186996,40.3981605,-3.7165313,-3.7165313,40.3981605,1114,2020-11-03T14:00:00Z,2020/10/01
144,212,212,239,187023,187023,40.3981605,-3.7165313,-3.7165313,40.3981605,4218,2020-11-03T19:00:00Z,2020/10/01
145,212,212,239,187821,187821,40.3981605,-3.7165313,-3.7165313,40.3981605,1628,2020-11-13T13:00:00Z,2020/10/01
146,212,212,239,188496,188496,40.3981605,-3.7165313,-3.7165313,40.3981605,1191,2020-11-20T22:00:00Z,2020/10/01
147,212,212,239,188892,188892,40.3981605,-3.7165313,-3.7165313,40.3981605,12,2020-11-25T16:00:00Z,2020/10/01
148,212,212,239,189547,189547,40.3981605,-3.7165313,-3.7165313,40.3981605,14,2020-11-06T11:00:00Z,2020/10/01
149,212,212,239,190328,190328,40.3981605,-3.7165313,-3.7165313,40.3981605,2432,2020-11-16T16:00:00Z,2020/10/01
150,212,212,239,191131,191131,40.3981605,-3.7165313,-3.7165313,40.3981605,17,2020-11-25T16:00:00Z,2020/10/01
151,212,212,239,193862,193862,40.3981605,-3.7165313,-3.7165313,40.3981605,695,2020-11-02T22:00:00Z,2020/10/01
152,212,212,239,198106,198106,40.3981605,-3.7165313,-3.7165313,40.3981605,909,2020-11-27T19:00:00Z,2020/10/01
153,212,212,239,198141,198141,40.3981605,-3.7165313,-3.7165313,40.3981605,1336,2020-11-28T10:00:00Z,2020/10/01
154,212,212,239,198546,198546,40.3981605,-3.7165313,-3.7165313,40.3981605,1290,2020-11-04T11:00:00Z,2020/10/01
155,212,212,239,198824,198824,40.3981605,-3.7165313,-3.7165313,40.3981605,1331,2020-11-08T13:00:00Z,2020/10/01
156,212,212,239,200384,200384,40.3981605,-3.7165313,-3.7165313,40.3981605,3208,2020-11-26T21:00:00Z,2020/10/01
157,212,212,239,200593,200593,40.3981605,-3.7165313,-3.7165313,40.3981605,1821,2020-11-30T11:00:00Z,2020/10/01
158,212,212,239,202052,202052,40.3981605,-3.7165313,-3.7165313,40.3981605,9,2020-11-19T10:00:00Z,2020/10/01
