MXASSETNUM,C,12;DESCRIPTIO,C,105;MINTDISTRI,C,20;NOMBRE_DIS,C,25;MINTBARRIO,C,10;NOMBRE_BAR,C,50;ESTADO,C,50;INSTALLDAT,D;MINTTIPOVI,C,15;MINTNOMBRE,C,254;MINTNUMERO,C,25;MINTNDP,C,20;MODELO,C,254
7944458;MU-51 - Soporte de Bicicletas Universal;09;MONCLOA-ARAVACA;094;VALDEZARZA;OPERATIVO;18/10/2021;CALLE;ANTONIO MACHADO;16;20104503;MU-51
7944459;MU-51 - Soporte de Bicicletas Universal;09;MONCLOA-ARAVACA;094;VALDEZARZA;OPERATIVO;18/10/2021;CALLE;ANTONIO MACHADO;16;20104503;MU-51
7944460;MU-51 - Soporte de Bicicletas Universal;09;MONCLOA-ARAVACA;094;VALDEZARZA;OPERATIVO;18/10/2021;CALLE;ANTONIO MACHADO;18;11054696;MU-51
7944461;MU-51 - Soporte de Bicicletas Universal;09;MONCLOA-ARAVACA;094;VALDEZARZA;OPERATIVO;18/10/2021;CALLE;ANTONIO MACHADO;18;11054696;MU-51
7944637;MU-51 - Soporte de Bicicletas Universal;05;CHAMARTIN;054;HISPANOAMERICA;OPERATIVO;;CALLE;JUAN RAMON JIMENEZ;9;11025560;MU-51
7944638;MU-51 - Soporte de Bicicletas Universal;05;CHAMARTIN;054;HISPANOAMERICA;OPERATIVO;;CALLE;JUAN RAMON JIMENEZ;9;11025560;MU-51
7944639;MU-51 - Soporte de Bicicletas Universal;05;CHAMARTIN;054;HISPANOAMERICA;OPERATIVO;;CALLE;JUAN RAMON JIMENEZ;9;11025560;MU-51
7944640;MU-51 - Soporte de Bicicletas Universal;05;CHAMARTIN;054;HISPANOAMERICA;OPERATIVO;;CALLE;JUAN RAMON JIMENEZ;9;11025560;MU-51
7944755;MU-51 - Soporte de Bicicletas Universal;07;CHAMBERI;076;VALLEHERMOSO;OPERATIVO;22/02/2016;CALLE;VALLEHERMOSO;83;20014750;MU-51
7944756;SITUADO_APARCABICICLETAS - AUTOVIA  M-30 1000EX;13;PUENTE DE VALLECAS;136;NUMANCIA;OPERATIVO;16/11/2017;AUTOVIA;M-30;1000EX;31031347;MU-51
7944757;MU-51 - Soporte de Bicicletas Universal;13;PUENTE DE VALLECAS;136;NUMANCIA;OPERATIVO;16/11/2017;AUTOVIA;M-30;1000EX;31031347;MU-51
7944760;MU-51 - Soporte de Bicicletas Universal;02;ARGANZUELA;026;PALOS DE MOGUER;OPERATIVO;;RONDA;ATOCHA;27;11010396;MU-51
7944761;MU-51 - Soporte de Bicicletas Universal;02;ARGANZUELA;026;PALOS DE MOGUER;OPERATIVO;;RONDA;ATOCHA;27;11010396;MU-51
7944762;MU-51 - Soporte de Bicicletas Universal;14;MORATALAZ;146;VINATEROS;OPERATIVO;;AVENIDA;MORATALAZ;130;20088210;MU-38
7944763;MU-51 - Soporte de Bicicletas Universal;14;MORATALAZ;146;VINATEROS;OPERATIVO;;AVENIDA;MORATALAZ;128;20088210;MU-38
7944766;MU-51 - Soporte de Bicicletas Universal;13;PUENTE DE VALLECAS;133;PALOMERAS BAJAS;OPERATIVO;;CALLE;VIRIDIANA;13F;20081150;MU-51
7944768;MU-51 - Soporte de Bicicletas Universal;13;PUENTE DE VALLECAS;133;PALOMERAS BAJAS;OPERATIVO;;CALLE;VIRIDIANA;13F;20081150;MU-51
7944769;MU-51 - Soporte de Bicicletas Universal;13;PUENTE DE VALLECAS;133;PALOMERAS BAJAS;OPERATIVO;;CALLE;VIRIDIANA;13F;20081150;MU-51
7944772;MU-51 - Soporte de Bicicletas Universal;01;CENTRO;013;CORTES;OPERATIVO;20/10/2021;CALLE;VIRGEN DE LOS PELIGROS;2;11004166;MU-51
7944773;MU-51 - Soporte de Bicicletas Universal;01;CENTRO;013;CORTES;OPERATIVO;20/10/2021;CALLE;VIRGEN DE LOS PELIGROS;10;11004170;MU-51
7944774;MU-51 - Soporte de Bicicletas Universal;01;CENTRO;013;CORTES;OPERATIVO;20/10/2021;CALLE;VIRGEN DE LOS PELIGROS;6;11004168;MU-51
7944775;MU-51 - Soporte de Bicicletas Universal;01;CENTRO;013;CORTES;OPERATIVO;20/10/2021;CALLE;CLAVEL;2;11004157;MU-51
7944776;MU-51 - Soporte de Bicicletas Universal;01;CENTRO;013;CORTES;OPERATIVO;20/10/2021;CALLE;CLAVEL;2;11004157;MU-51
7944777;MU-51 - Soporte de Bicicletas Universal;01;CENTRO;013;CORTES;OPERATIVO;20/10/2021;CALLE;CLAVEL;2;11004157;MU-51
7944779;MU-51 - Soporte de Bicicletas Universal;07;CHAMBERI;076;VALLEHERMOSO;OPERATIVO;20/10/2021;AVENIDA;FILIPINAS;7;20173015;MU-51
7944780;MU-51 - Soporte de Bicicletas Universal;07;CHAMBERI;076;VALLEHERMOSO;OPERATIVO;20/10/2021;AVENIDA;FILIPINAS;7;20173015;MU-51
7944782;MU-51 - Soporte de Bicicletas Universal;07;CHAMBERI;076;VALLEHERMOSO;OPERATIVO;20/10/2021;AVENIDA;FILIPINAS;7;20173015;MU-51
7944783;MU-51 - Soporte de Bicicletas Universal;07;CHAMBERI;076;VALLEHERMOSO;OPERATIVO;20/10/2021;AVENIDA;FILIPINAS;7;20173015;MU-51
7944784;MU-51 - Soporte de Bicicletas Universal;07;CHAMBERI;076;VALLEHERMOSO;OPERATIVO;20/10/2021;AVENIDA;FILIPINAS;7;20173015;MU-51
7944789;MU-51 - Soporte de Bicicletas Universal;19;VICALVARO;191;CASCO H.VICALVARO;OPERATIVO;;CALLE;SAN CIPRIANO;46;31025058;MU-51
7944790;MU-51 - Soporte de Bicicletas Universal;19;VICALVARO;191;CASCO H.VICALVARO;OPERATIVO;;CALLE;VILLABLANCA;79;20076408;MU-51
7944797;MU-51 - Soporte de Bicicletas Universal;08;FUENCARRAL-EL PARDO;085;LA PAZ;OPERATIVO;;CALLE;PEDRO RICO;4;20103363;MU-51
7944798;MU-51 - Soporte de Bicicletas Universal;08;FUENCARRAL-EL PARDO;085;LA PAZ;OPERATIVO;;CALLE;PEDRO RICO;4;20103363;MU-51
7944799;MU-51 - Soporte de Bicicletas Universal;08;FUENCARRAL-EL PARDO;085;LA PAZ;OPERATIVO;;CALLE;PEDRO RICO;4;20103363;MU-51
