,index,start_station,start_station_Latitud,start_station_Longitud,end_station,end_station_Longitud,end_station_Latitud,travel_time,hour_time
134,134,91,40.4261113,-3.6788203,65,-3.6893825,40.4166859,579,2020-04-22T05:00:00Z
135,135,178,40.4030242,-3.6788939,133,-3.7000292,40.4471673,176,2020-04-22T05:00:00Z
136,136,118,40.4007959,-3.688135,157,-3.6893305,40.459282,634,2020-04-22T05:00:00Z
137,137,168,40.4045828,-3.6959159,102,-3.6840806,40.4211552,764,2020-04-22T05:00:00Z
138,138,18,40.4209206,-3.6995679,201,-3.7038161,40.4387323,992,2020-04-22T05:00:00Z
139,139,14,40.4259913,-3.7133768,170,-3.704403,40.4011039,650,2020-04-22T05:00:00Z
140,140,49,40.4060497,-3.6992427,79,-3.6805524,40.4050482,613,2020-04-22T05:00:00Z
141,141,49,40.4060497,-3.6992427,1,-3.7015636,40.4172132,519,2020-04-22T05:00:00Z
142,142,84,40.4033695,-3.6726923,75,-3.6784149,40.4083387,658,2020-04-22T05:00:00Z
143,143,89,40.4272628,-3.6751716,65,-3.6893825,40.4166859,623,2020-04-22T05:00:00Z
144,144,186,40.429069,-3.6782783,96,-3.6820471,40.4220516,792,2020-04-22T05:00:00Z
145,145,38,40.4112961,-3.7114443,67,-3.6931349,40.410829,814,2020-04-22T05:00:00Z
146,146,86,40.4185779,-3.6933298,67,-3.6931349,40.410829,617,2020-04-22T05:00:00Z
147,148,200,40.4336617,-3.704671,72,-3.669623,40.415721,667,2020-04-22T05:00:00Z
148,150,192,40.431855,-3.6714315,55,-3.7019295,40.4240716,788,2020-04-22T05:00:00Z
149,151,59,40.4254802,-3.7041167,59,-3.7041167,40.4254802,13,2020-04-22T06:00:00Z
150,152,59,40.4254802,-3.7041167,59,-3.7041167,40.4254802,51,2020-04-22T06:00:00Z
151,153,140,40.438628,-3.6829045,140,-3.6829127,40.4385198,16,2020-04-22T06:00:00Z
152,154,140,40.438628,-3.6829045,140,-3.6829127,40.4385198,13,2020-04-22T06:00:00Z
153,155,140,40.438628,-3.6829045,140,-3.6829127,40.4385198,10,2020-04-22T06:00:00Z
154,156,57,40.4296363,-3.7128181,130,-3.7017071,40.4417195,802,2020-04-22T06:00:00Z
155,157,161,40.4221372,-3.7220624,169,-3.713846,40.401578,401,2020-04-22T06:00:00Z
156,158,29,40.416244,-3.6958008,29,-3.6958008,40.416244,7,2020-04-22T06:00:00Z
157,159,29,40.416244,-3.6958008,29,-3.6958008,40.416244,8,2020-04-22T06:00:00Z
158,160,180,40.3941252,-3.6759244,188,-3.6589062,40.4311658,556,2020-04-22T06:00:00Z
159,161,154,40.4547769,-3.6946736,195,-3.6754913,40.4392483,887,2020-04-22T06:00:00Z
160,162,133,40.4471673,-3.7000292,160,-3.6766176,40.4571995,956,2020-04-22T06:00:00Z
161,164,12,40.4285271,-3.7062202,170,-3.704403,40.4011039,561,2020-04-22T06:00:00Z
162,165,160,40.4571995,-3.6766176,65,-3.6893825,40.4166859,1303,2020-04-22T06:00:00Z
163,166,173,40.3981757,-3.7023615,173,-3.7023615,40.3981757,7,2020-04-22T06:00:00Z
164,167,173,40.3981757,-3.7023615,173,-3.7023615,40.3981757,13,2020-04-22T06:00:00Z
165,168,173,40.3981757,-3.7023615,173,-3.7023615,40.3981757,13,2020-04-22T06:00:00Z
166,169,173,40.3981757,-3.7023615,173,-3.7023615,40.3981757,14,2020-04-22T06:00:00Z
167,170,175,40.3962687,-3.6983033,185,-3.661533,40.4250682,775,2020-04-22T06:00:00Z
168,171,173,40.3981757,-3.7023615,173,-3.7023615,40.3981757,26,2020-04-22T06:00:00Z
169,172,173,40.3981757,-3.7023615,173,-3.7023615,40.3981757,18,2020-04-22T06:00:00Z
